#;$id;libellé SEDA 2;libellé anglais
;;sbv;Sabine
;;mss;West Masela
;;nce;Yale
;;ebr;Ebrié
;;xna;Ancient North Arabian
;;saz;Saurashtra
;;mul;Multiple languages
;;bpx;Palya Bareli
;;bhj;Bahing
;;hrx;Hunsrik
;;pkc;Paekche
;;mqj;Mamasa
;;kmy;Koma
;;tne;Tinoc Kallahan
;;coy;Coyaima
;;awx;Awara
;;acq;Ta'izzi-Adeni Arabic
;;big;Biangai
;;xmk;Ancient Macedonian
;;tmg;Ternateño
;;rpn;Repanbitip
;;wrs;Waris
;;ema;Emai-Iuleha-Ora
;;nnh;Ngiemboon
;;cbj;Ede Cabe
;;tip;Trimuris
;;crd;Coeur d'Alene
;;kxt;Koiwat
;;kng;Koongo
;;bhc;Biga
;;zmw;Mbo (Democratic Republic of Congo)
;;umd;Umbindhamu
;;uvl;Lote
;;llx;Lauan
;;ylo;Naluo Yi
;;mus;Creek
;;lgm;Lega-Mwenga
;;tow;Jemez
;;jii;Jiiddu
;;ywl;Western Lalu
;;rat;Razajerdi
;;spm;Sepen
;;dho;Dhodia
;;blj;Bolongan
;;sne;Bau Bidayuh
;;koq;Kota (Gabon)
;;wmn;Waamwang
;;mgi;Lijili
;;wuv;Wuvulu-Aua
;;nrx;Ngurmbur
;;xcc;Camunic
;;ayr;Central Aymara
;;apm;Mescalero-Chiricahua Apache
;;wap;Wapishana
;;cjp;Cabécar
;;sae;Sabanê
;;cat;Catalan
;;xno;Anglo-Norman
;;pli;Pali
;;kvz;Tsakwambo
;;bba;Baatonum
;;nhm;Morelos Nahuatl
;;waf;Wakoná
;;cbb;Cabiyarí
;;dih;Kumiai
;;hlu;Hieroglyphic Luwian
;;bcs;Kohumono
;;kiu;Kirmanjki (individual language)
;;hir;Himarimã
;;asl;Asilulu
;;obk;Southern Bontok
;;mnz;Moni
;;non;Old Norse
;;ddi;West Goodenough
;;tdk;Tambas
;;slf;Swiss-Italian Sign Language
;;ceb;Cebuano
;;wlw;Walak
;;mrd;Western Magar
;;ttt;Muslim Tat
;;chz;Ozumacín Chinantec
;;wax;Watam
;;baf;Nubaca
;;xkq;Koroni
;;wrz;Waray (Australia)
;;pae;Pagibete
;;bzt;Brithenig
;;xso;Solano
;;xiv;Indus Valley Language
;;yiq;Miqie
;;lgh;Laghuu
;;sis;Siuslaw
;;sra;Saruga
;;taw;Tai
;;pia;Pima Bajo
;;loq;Lobala
;;ise;Italian Sign Language
;;auu;Auye
;;mmy;Migaama
;;thi;Tai Long
;;ahn;Àhàn
;;hud;Huaulu
;;chg;Chagatai
;;waw;Waiwai
;;wuy;Wauyai
;;riu;Riung
;;bxw;Bankagooma
;;mla;Malo
;;psy;Piscataway
;;faz;Northwestern Fars
;;ktx;Kaxararí
;;nbn;Kuri
;;mfg;Mixifore
;;mqs;West Makian
;;kvm;Kendem
;;xmy;Mayaguduna
;;daf;Dan
;;pav;Pakaásnovos
;;wnc;Wantoat
;;tql;Lehali
;;muz;Mursi
;;hne;Chhattisgarhi
;;qxp;Puno Quechua
;;swn;Sawknah
;;hue;San Francisco Del Mar Huave
;;kgu;Kobol
;;zch;Central Hongshuihe Zhuang
;;bla;Siksika
;;pax;Pankararé
;;kdz;Kwaja
;;cpy;South Ucayali Ashéninka
;;scs;North Slavey
;;mpn;Mindiri
;;mzj;Manya
;;mny;Manyawa
;;elk;Elkei
;;mlg;Malagasy
;;kyh;Karok
;;cps;Capiznon
;;ssb;Southern Sama
;;ojb;Northwestern Ojibwa
;;bmg;Bamwe
;;yaa;Yaminahua
;;tto;Lower Ta'oih
;;hvv;Santa María Del Mar Huave
;;ade;Adele
;;luv;Luwati
;;xps;Pisidian
;;tim;Timbe
;;elx;Elamite
;;cbr;Cashibo-Cacataibo
;;crv;Chaura
;;ukr;Ukrainian
;;bkk;Brokskat
;;moq;Mor (Bomberai Peninsula)
;;uji;Tanjijili
;;mfp;Makassar Malay
;;nbt;Na
;;zpu;Yalálag Zapotec
;;tgq;Tring
;;ral;Ralte
;;nsd;Southern Nisu
;;brg;Baure
;;bxb;Belanda Bor
;;xcm;Comecrudo
;;knn;Konkani (individual language)
;;aoi;Anindilyakwa
;;opm;Oksapmin
;;kvy;Yintale Karen
;;zpp;El Alto Zapotec
;;sze;Seze
;;str;Straits Salish
;;glo;Galambu
;;giq;Green Gelao
;;aft;Afitti
;;amk;Ambai
;;mwl;Mirandese
;;zao;Ozolotepec Zapotec
;;ull;Ullatan
;;msr;Mongolian Sign Language
;;nkf;Inpui Naga
;;mdy;Male (Ethiopia)
;;lud;Ludian
;;snl;Sangil
;;zar;Rincón Zapotec
;;ras;Tegali
;;mbh;Mangseng
;;dig;Digo
;;pud;Punan Aput
;;nom;Nocamán
;;jio;Jiamao
;;jyy;Jaya
;;oml;Ombo
;;dzn;Dzando
;;kew;West Kewa
;;wbb;Wabo
;;tda;Tagdal
;;poh;Poqomchi'
;;bzs;Brazilian Sign Language
;;lig;Ligbi
;;kea;Kabuverdianu
;;urb;Urubú-Kaapor
;;coz;Chochotec
;;fer;Feroge
;;ytl;Tanglang
;;kyw;Kudmali
;;und;Undetermined
;;unk;Enawené-Nawé
;;mtm;Mator
;;kzw;Karirí-Xocó
;;bew;Betawi
;;ruq;Megleno Romanian
;;byn;Bilin
;;zah;Zangwal
;;dby;Dibiyaso
;;bzh;Mapos Buang
;;xsv;Sudovian
;;fap;Palor
;;mty;Nabi
;;hux;Nüpode Huitoto
;;jbr;Jofotek-Bromnya
;;oro;Orokolo
;;com;Comanche
;;gbf;Gaikundi
;;tdd;Tai Nüa
;;moc;Mocoví
;;cdn;Chaudangsi
;;gab;Gabri
;;teo;Teso
;;aqp;Atakapa
;;kmu;Kanite
;;nsr;Maritime Sign Language
;;htx;Middle Hittite
;;akv;Akhvakh
;;bbs;Bakpinka
;;xpy;Puyo
;;lrk;Loarki
;;klr;Khaling
;;pbc;Patamona
;;nsw;Navut
;;nkt;Nyika (Tanzania)
;;kyg;Keyagana
;;akl;Aklanon
;;ekl;Kol
;;bxh;Buhutu
;;ldi;Laari
;;nlz;Nalögo
;;des;Desano
;;nkq;Nkami
;;sab;Buglere
;;kxc;Konso
;;jnd;Jandavra
;;smz;Simeku
;;bra;Braj
;;ant;Antakarinya
;;bqm;Wumboko
;;myw;Muyuw
;;lbm;Lodhi
;;kmd;Majukayang Kalinga
;;zts;Tilquiapan Zapotec
;;yly;Nyâlayu
;;ugy;Uruguayan Sign Language
;;xaq;Aquitanian
;;lag;Langi
;;quv;Sacapulteco
;;tqm;Turumsa
;;kcx;Kachama-Ganjule
;;ify;Keley-I Kallahan
;;lbv;Lavatbura-Lamusong
;;jye;Judeo-Yemeni Arabic
;;kss;Southern Kisi
;;fum;Fum
;;ckv;Kavalan
;;wpc;Maco
;;tty;Sikaritai
;;noh;Nomu
;;zpz;Texmelucan Zapotec
;;kvr;Kerinci
;;ycn;Yucuna
;;xsd;Sidetic
;;dyb;Dyaberdyaber
;;owi;Owiniga
;;apt;Apatani
;;mam;Mam
;;rab;Camling
;;yid;Yiddish
;;duh;Dungra Bhil
;;kls;Kalasha
;;gby;Gbari
;;ybo;Yabong
;;ndc;Ndau
;;mhy;Ma'anyan
;;bxi;Pirlatapa
;;ycp;Chepya
;;vmk;Makhuwa-Shirima
;;enu;Enu
;;ctp;Western Highland Chatino
;;nsi;Nigerian Sign Language
;;bsn;Barasana-Eduria
;;wme;Wambule
;;nna;Nyangumarta
;;lra;Rara Bakati'
;;nym;Nyamwezi
;;ayc;Southern Aymara
;;ang;Old English (ca. 450-1100)
;;fuy;Fuyug
;;nbg;Nagarchal
;;mvd;Mamboru
;;pbh;E'ñapa Woromaipu
;;sve;Serili
;;tmv;Tembo (Motembo)
;;rmz;Marma
;;mok;Morori
;;kll;Kagan Kalagan
;;cov;Cao Miao
;;qxo;Southern Conchucos Ancash Quechua
;;gjn;Gonja
;;msi;Sabah Malay
;;xpk;Kulina Pano
;;lit;Lithuanian
;;ter;Tereno
;;nlv;Orizaba Nahuatl
;;ser;Serrano
;;skw;Skepi Creole Dutch
;;ldb;Idun
;;doz;Dorze
;;tso;Tsonga
;;eri;Ogea
;;tgh;Tobagonian Creole English
;;mva;Manam
;;ymk;Makwe
;;asa;Asu (Tanzania)
;;cji;Chamalal
;;kza;Western Karaboro
;;srn;Sranan Tongo
;;dus;Dumi
;;soo;Songo
;;mue;Media Lengua
;;akm;Aka-Bo
;;xmj;Majera
;;vkm;Kamakan
;;xmx;Maden
;;sml;Central Sama
;;nti;Natioro
;;aam;Aramanik
;;adt;Adnyamathanha
;;ssk;Sunam
;;kdd;Yankunytjatjara
;;xcv;Chuvantsy
;;sjs;Senhaja De Srair
;;lmy;Lamboya
;;jmx;Western Juxtlahuaca Mixtec
;;cvg;Chug
;;lle;Lele (Papua New Guinea)
;;mur;Murle
;;mib;Atatláhuca Mixtec
;;enh;Tundra Enets
;;gdd;Gedaged
;;nxx;Nafri
;;vmb;Mbabaram
;;eki;Eki
;;otl;Tilapa Otomi
;;lbi;La'bi
;;snu;Senggi
;;awc;Cicipu
;;vag;Vagla
;;mma;Mama
;;xtm;Magdalena Peñasco Mixtec
;;uma;Umatilla
;;kwr;Kwer
;;dmr;East Damar
;;gun;Mbyá Guaraní
;;kbv;Dera (Indonesia)
;;tka;Truká
;;gvf;Golin
;;ugb;Kuku-Ugbanh
;;kun;Kunama
;;afk;Nanubae
;;wbl;Wakhi
;;mvr;Marau
;;ash;Abishira
;;mwp;Kala Lagaw Ya
;;ril;Riang (Myanmar)
;;nnm;Namia
;;gdg;Ga'dang
;;hoe;Horom
;;ntk;Ikoma-Nata-Isenye
;;kas;Kashmiri
;;bvw;Boga
;;sef;Cebaara Senoufo
;;nyx;Nganyaywana
;;nrc;Noric
;;dkx;Mazagway
;;dsn;Dusner
;;uba;Ubang
;;bnc;Bontok
;;neh;Nyenkha
;;tey;Tulishi
;;jas;New Caledonian Javanese
;;sdo;Bukar-Sadung Bidayuh
;;bbi;Barombi
;;kzl;Kayeli
;;jru;Japrería
;;sdf;Sarli
;;gvo;Gavião Do Jiparaná
;;btd;Batak Dairi
;;mtr;Mewari
;;mck;Mbunda
;;til;Tillamook
;;luq;Lucumi
;;hmw;Western Mashan Hmong
;;vlp;Valpei
;;amv;Ambelau
;;gnh;Lere
;;ulu;Uma' Lung
;;tve;Te'un
;;lrr;Southern Lorung
;;ibb;Ibibio
;;ain;Ainu (Japan)
;;skm;Sakam
;;wok;Longto
;;ayq;Ayi (Papua New Guinea)
;;ahh;Aghu
;;kky;Guguyimidjir
;;sjt;Ter Sami
;;ynn;Yana
;;mrc;Maricopa
;;csr;Costa Rican Sign Language
;;tre;East Tarangan
;;yox;Yoron
;;ssy;Saho
;;ctm;Chitimacha
;;hag;Hanga
;;auc;Waorani
;;keh;Keak
;;ddg;Fataluku
;;sms;Skolt Sami
;;bto;Rinconada Bikol
;;aji;Ajië
;;yon;Yongkom
;;inb;Inga
;;reb;Rembong
;;crz;Cruzeño
;;swk;Malawi Sena
;;mct;Mengisa
;;emo;Emok
;;xel;Kelo
;;sqn;Susquehannock
;;ksw;S'gaw Karen
;;ann;Obolo
;;bky;Bokyi
;;bdi;Burun
;;hmr;Hmar
;;bbz;Babalia Creole Arabic
;;arh;Arhuaco
;;ara;Arabic
;;mwe;Mwera (Chimwera)
;;nmy;Namuyi
;;iai;Iaai
;;tqt;Western Totonac
;;mlp;Bargam
;;ntw;Nottoway
;;btx;Batak Karo
;;ygw;Yagwoia
;;nih;Nyiha (Tanzania)
;;yta;Talu
;;kgm;Karipúna
;;biv;Southern Birifor
;;mws;Mwimbi-Muthambi
;;htu;Hitu
;;mjz;Majhi
;;gwi;Gwichʼin
;;phm;Phimbi
;;mdc;Male (Papua New Guinea)
;;lhi;Lahu Shi
;;zoc;Copainalá Zoque
;;bgk;Bit
;;tux;Tuxináwa
;;gqn;Guana (Brazil)
;;jie;Jilbe
;;oke;Okpe (Southwestern Edo)
;;kwm;Kwambi
;;egl;Emilian
;;uzn;Northern Uzbek
;;mwz;Moingi
;;ote;Mezquital Otomi
;;fsl;French Sign Language
;;chh;Chinook
;;aob;Abom
;;kce;Kaivi
;;cav;Cavineña
;;yns;Yansi
;;bza;Bandi
;;kae;Ketangalan
;;guv;Gey
;;cko;Anufo
;;tcq;Kaiy
;;laj;Lango (Uganda)
;;bca;Central Bai
;;ttf;Tuotomb
;;msb;Masbatenyo
;;gzi;Gazi
;;hmk;Maek
;;gyb;Garus
;;bga;Gwamhi-Wuri
;;ykt;Kathu
;;mad;Madurese
;;las;Lama (Togo)
;;vmw;Makhuwa
;;cot;Caquinte
;;chq;Quiotepec Chinantec
;;nle;East Nyala
;;mbm;Ombamba
;;kuk;Kepo'
;;kqr;Kimaragang
;;giz;South Giziga
;;bft;Balti
;;dba;Bangi Me
;;pov;Upper Guinea Crioulo
;;crh;Crimean Tatar
;;gdn;Umanakaina
;;xug;Kunigami
;;bjv;Bedjond
;;ajz;Amri Karbi
;;rmb;Rembarunga
;;bsu;Bahonsuai
;;tsl;Ts'ün-Lao
;;yky;Yakoma
;;jsl;Japanese Sign Language
;;zgb;Guibei Zhuang
;;row;Dela-Oenale
;;mxg;Mbangala
;;ksn;Kasiguranin
;;ksb;Shambala
;;djw;Djawi
;;kqy;Koorete
;;soy;Miyobe
;;kus;Kusaal
;;iri;Irigwe
;;xrb;Eastern Karaboro
;;shd;Kundal Shahi
;;mxw;Namo
;;kpt;Karata
;;gdr;Wipi
;;hmd;Large Flowery Miao
;;bfu;Gahri
;;rmq;Caló
;;lje;Rampi
;;tdv;Toro
;;bgo;Baga Koga
;;kny;Kanyok
;;baw;Bambili-Bambui
;;nph;Phom Naga
;;agq;Aghem
;;cab;Garifuna
;;djn;Djauan
;;pao;Northern Paiute
;;nwb;Nyabwa
;;kcs;Koenoem
;;tja;Tajuasohn
;;bqd;Bung
;;wdj;Wadjiginy
;;lej;Lengola
;;cuu;Tai Ya
;;xru;Marriammu
;;nnq;Ngindo
;;esu;Central Yupik
;;cbg;Chimila
;;cka;Khumi Awa Chin
;;kkr;Kir-Balar
;;aaz;Amarasi
;;suz;Sunwar
;;std;Sentinel
;;bmq;Bomu
;;stq;Saterfriesisch
;;hwa;Wané
;;nuf;Nusu
;;xkf;Khengkha
;;gra;Rajput Garasia
;;bnl;Boon
;;goo;Gone Dau
;;gez;Geez
;;lzl;Litzlitz
;;ton;Tonga (Tonga Islands)
;;dgx;Doghoro
;;ktn;Karitiâna
;;kop;Waube
;;zay;Zayse-Zergulla
;;dbv;Dungu
;;xhc;Hunnic
;;mtb;Anyin Morofo
;;alw;Alaba-K’abeena
;;aqd;Ampari Dogon
;;wdu;Wadjigu
;;ytp;Thopho
;;sys;Sinyar
;;knr;Kaningra
;;gcd;Ganggalida
;;txo;Toto
;;wmm;Maiwa (Indonesia)
;;mii;Chigmecatitlán Mixtec
;;llo;Khlor
;;bnj;Eastern Tawbuid
;;ncs;Nicaraguan Sign Language
;;pcr;Panang
;;uln;Unserdeutsch
;;ifk;Tuwali Ifugao
;;nuk;Nuu-chah-nulth
;;gld;Nanai
;;avi;Avikam
;;xil;Illyrian
;;dzd;Daza
;;sxc;Sicanian
;;cie;Cineni
;;oni;Onin
;;bne;Bintauna
;;nyb;Nyangbo
;;cly;Eastern Highland Chatino
;;ylr;Yalarnnga
;;mkl;Mokole
;;izr;Izere
;;bwj;Láá Láá Bwamu
;;wgb;Wagawaga
;;sor;Somrai
;;mmj;Majhwar
;;agl;Fembe
;;nim;Nilamba
;;gna;Kaansa
;;ipi;Ipili
;;zul;Zulu
;;bja;Budza
;;zos;Francisco León Zoque
;;ers;Ersu
;;pps;San Luís Temalacayuca Popoloca
;;bwq;Southern Bobo Madaré
;;tww;Tuwari
;;sgo;Songa
;;njo;Ao Naga
;;dac;Dambi
;;kdl;Tsikimba
;;ghe;Southern Ghale
;;diq;Dimli (individual language)
;;gic;Gail
;;air;Airoran
;;aka;Akan
;;sid;Sidamo
;;aax;Mandobo Atas
;;tnr;Bedik
;;pir;Piratapuyo
;;kcb;Kawacha
;;cas;Tsimané
;;lau;Laba
;;cdm;Chepang
;;thn;Thachanadan
;;nal;Nalik
;;kja;Mlap
;;yee;Yimas
;;kum;Kumyk
;;bvm;Bamunka
;;ddn;Dendi (Benin)
;;mhg;Margu
;;aik;Ake
;;kux;Kukatja
;;aui;Anuki
;;sgc;Kipsigis
;;pqa;Pa'a
;;kzt;Tambunan Dusun
;;enb;Markweeta
;;gwu;Guwamu
;;dyg;Villa Viciosa Agta
;;mqg;Kota Bangun Kutai Malay
;;fuc;Pulaar
;;kxl;Nepali Kurux
;;qvl;Cajatambo North Lima Quechua
;;mfs;Mexican Sign Language
;;xoc;O'chi'chi'
;;tix;Southern Tiwa
;;bei;Bekati'
;;vin;Vinza
;;fak;Fang (Cameroon)
;;cds;Chadian Sign Language
;;tsy;Tebul Sign Language
;;ulb;Ulukwumi
;;prw;Parawen
;;def;Dezfuli
;;lie;Likila
;;gyl;Gayil
;;ybe;West Yugur
;;afz;Obokuitai
;;lrm;Marama
;;zyn;Yongnan Zhuang
;;piy;Piya-Kwonci
;;kck;Kalanga
;;val;Vehes
;;csk;Jola-Kasa
;;blr;Blang
;;fos;Siraya
;;yam;Yamba
;;man;Mandingo
;;bkq;Bakairí
;;pef;Northeastern Pomo
;;uli;Ulithian
;;mfb;Bangka
;;bta;Bata
;;cim;Cimbrian
;;jac;Popti'
;;uda;Uda
;;amb;Ambo
;;wca;Yanomámi
;;tvn;Tavoyan
;;yba;Yala
;;grx;Guriaso
;;fbl;West Albay Bikol
;;itt;Maeng Itneg
;;dyy;Dyaabugay
;;alc;Qawasqar
;;cuc;Usila Chinantec
;;jab;Hyam
;;ayd;Ayabadhu
;;trv;Taroko
;;hdn;Northern Haida
;;hid;Hidatsa
;;llp;North Efate
;;hnd;Southern Hindko
;;mbu;Mbula-Bwazza
;;vmq;Soyaltepec Mixtec
;;thx;The
;;cod;Cocama-Cocamilla
;;gvm;Gurmana
;;mea;Menka
;;cmi;Emberá-Chamí
;;puk;Pu Ko
;;gwa;Mbato
;;cub;Cubeo
;;coa;Cocos Islands Malay
;;rie;Rien
;;psm;Pauserna
;;bqr;Burusu
;;amg;Amarag
;;pml;Lingua Franca
;;aao;Algerian Saharan Arabic
;;koj;Sara Dunjo
;;orv;Old Russian
;;skp;Sekapan
;;mid;Mandaic
;;wtk;Watakataui
;;bzz;Evant
;;cip;Chiapanec
;;gse;Ghanaian Sign Language
;;yri;Yarí
;;trg;Lishán Didán
;;wlx;Wali (Ghana)
;;ace;Achinese
;;xkp;Kabatei
;;jdg;Jadgali
;;khz;Keapara
;;ruz;Ruma
;;zum;Kumzari
;;spe;Sepa (Papua New Guinea)
;;osc;Oscan
;;bxo;Barikanchi
;;zne;Zande (individual language)
;;thu;Thuri
;;sxb;Suba
;;aum;Asu (Nigeria)
;;tgt;Central Tagbanwa
;;kwx;Khirwar
;;abo;Abon
;;ary;Moroccan Arabic
;;gak;Gamkonora
;;tbm;Tagbu
;;jge;Judeo-Georgian
;;cwd;Woods Cree
;;jko;Kubo
;;mpb;Mullukmulluk
;;mlq;Western Maninkakan
;;boa;Bora
;;nbm;Ngbaka Ma'bo
;;bti;Burate
;;kam;Kamba (Kenya)
;;lmh;Lambichhong
;;stk;Arammba
;;lmi;Lombi
;;lev;Lamma
;;bnw;Bisis
;;pih;Pitcairn-Norfolk
;;kcq;Kamo
;;bpb;Barbacoas
;;psq;Pasi
;;mjw;Karbi
;;yla;Yaul
;;int;Intha
;;rin;Nungu
;;obl;Oblo
;;hma;Southern Mashan Hmong
;;kpa;Kutto
;;jnj;Yemsa
;;cng;Northern Qiang
;;bui;Bongili
;;chf;Tabasco Chontal
;;typ;Thaypan
;;mvo;Marovo
;;xqt;Qatabanian
;;akg;Anakalangu
;;bvv;Baniva
;;twd;Twents
;;kfb;Northwestern Kolami
;;xsp;Silopi
;;dwr;Dawro
;;prb;Lua'
;;bvl;Bolivian Sign Language
;;txq;Tii
;;dny;Dení
;;pyy;Pyen
;;now;Nyambo
;;nmf;Tangkhul Naga
;;yhd;Judeo-Iraqi Arabic
;;vro;Võro
;;yir;North Awyu
;;pgl;Primitive Irish
;;knx;Kendayan
;;mhj;Mogholi
;;agc;Agatu
;;phk;Phake
;;btw;Butuanon
;;tsa;Tsaangi
;;fag;Finongan
;;mxp;Tlahuitoltepec Mixe
;;lpo;Lipo
;;ism;Masimasi
;;ont;Ontenu
;;scf;San Miguel Creole French
;;xfa;Faliscan
;;tci;Wára
;;cuj;Mashco Piro
;;ili;Ili Turki
;;tlp;Filomena Mata-Coahuitlán Totonac
;;wmc;Wamas
;;ksd;Kuanua
;;how;Honi
;;khs;Kasua
;;myh;Makah
;;ula;Fungwa
;;udm;Udmurt
;;rth;Ratahan
;;beb;Bebele
;;kjh;Khakas
;;wag;Wa'ema
;;aif;Agi
;;yyu;Yau (Sandaun Province)
;;tun;Tunica
;;sut;Subtiaba
;;maw;Mampruli
;;hut;Humla
;;bda;Bayot
;;djf;Djangun
;;sbw;Simba
;;ggr;Aghu Tharnggalu
;;amm;Ama (Papua New Guinea)
;;ngt;Ngeq
;;nfr;Nafaanra
;;abj;Aka-Bea
;;twi;Twi
;;kmh;Kalam
;;pym;Fyam
;;lrc;Northern Luri
;;fry;Western Frisian
;;zra;Kara (Korea)
;;tlb;Tobelo
;;imn;Imonda
;;cym;Welsh
;;sse;Balangingi
;;pii;Pini
;;buf;Bushoong
;;tvs;Taveta
;;doq;Dominican Sign Language
;;msm;Agusan Manobo
;;kif;Eastern Parbate Kham
;;enr;Emumu
;;ysn;Sani
;;ura;Urarina
;;mdu;Mboko
;;goe;Gongduk
;;egy;Egyptian (Ancient)
;;twq;Tasawaq
;;bqj;Bandial
;;lmr;Lamalera
;;kts;South Muyu
;;waq;Wageman
;;sjb;Sajau Basap
;;wac;Wasco-Wishram
;;rys;Yaeyama
;;lbu;Labu
;;aab;Alumu-Tesu
;;far;Fataleka
;;pea;Peranakan Indonesian
;;mgj;Abureni
;;evh;Uvbie
;;tuu;Tututni
;;bli;Bolia
;;omt;Omotik
;;ksv;Kusu
;;nhx;Isthmus-Mecayapan Nahuatl
;;adf;Dhofari Arabic
;;bdl;Indonesian Bajau
;;ndb;Kenswei Nsei
;;lse;Lusengo
;;daq;Dandami Maria
;;eto;Eton (Cameroon)
;;wun;Bungu
;;ztm;San Agustín Mixtepec Zapotec
;;but;Bungain
;;ziw;Zigula
;;too;Xicotepec De Juárez Totonac
;;buw;Bubi
;;idd;Ede Idaca
;;dhn;Dhanki
;;ciy;Chaima
;;bbb;Barai
;;cpx;Pu-Xian Chinese
;;ekm;Elip
;;xup;Upper Umpqua
;;wiy;Wiyot
;;pbv;Pnar
;;keo;Kakwa
;;ekr;Yace
;;tox;Tobian
;;pub;Purum
;;jvd;Javindo
;;eot;Beti (Côte d'Ivoire)
;;mzd;Malimba
;;mlh;Mape
;;kha;Khasi
;;xwl;Western Xwla Gbe
;;lsl;Latvian Sign Language
;;frk;Frankish
;;tpe;Tippera
;;bwx;Bu-Nao Bunu
;;wbe;Waritai
;;mnd;Mondé
;;xpu;Punic
;;ncr;Ncane
;;aho;Ahom
;;bzq;Buli (Indonesia)
;;pay;Pech
;;tzh;Tzeltal
;;bnb;Bookan
;;kgv;Karas
;;pad;Paumarí
;;mpo;Miu
;;paw;Pawnee
;;mmv;Miriti
;;got;Gothic
;;elo;El Molo
;;tdl;Sur
;;bmh;Kein
;;wrg;Warungu
;;wav;Waka
;;hlt;Nga La
;;igw;Igwe
;;xib;Iberian
;;tts;Northeastern Thai
;;ave;Avestan
;;sle;Sholaga
;;yup;Yukpa
;;jam;Jamaican Creole English
;;bxv;Berakou
;;fay;Southwestern Fars
;;snf;Noon
;;luw;Luo (Cameroon)
;;gon;Gondi
;;xsl;South Slavey
;;mes;Masmaje
;;bhd;Bhadrawahi
;;ndi;Samba Leko
;;cut;Teutila Cuicatec
;;yub;Yugambal
;;apl;Lipan Apache
;;tbw;Tagbanwa
;;xlp;Lepontic
;;ttp;Tombelala
;;jur;Jurúna
;;xra;Krahô
;;wku;Kunduvadi
;;qxq;Qashqa'i
;;cho;Choctaw
;;zpa;Lachiguiri Zapotec
;;wnb;Wanambre
;;quh;South Bolivian Quechua
;;awk;Awabakal
;;urh;Urhobo
;;kmo;Kwoma
;;swo;Shanenawa
;;mwb;Juwal
;;dmy;Demta
;;tyu;Kua
;;srf;Nafi
;;tmt;Tasmate
;;dgg;Doga
;;yll;Yil
;;oub;Glio-Oubi
;;kks;Giiwo
;;vmh;Maraghei
;;loi;Loma (Côte d'Ivoire)
;;bct;Bendi
;;sir;Siri
;;ffm;Maasina Fulfulde
;;kba;Kalarko
;;bof;Bolon
;;aod;Andarum
;;yml;Iamalele
;;tzo;Tzotzil
;;bpk;Orowe
;;emy;Epigraphic Mayan
;;hhy;Hoyahoya
;;ojw;Western Ojibwa
;;zka;Kaimbulawa
;;nlg;Gela
;;rue;Rusyn
;;peo;Old Persian (ca. 600-400 B.C.)
;;lnb;Mbalanhu
;;lgb;Laghu
;;lal;Lalia
;;pmu;Mirpur Panjabi
;;krj;Kinaray-A
;;wxa;Waxianghua
;;mxy;Southeastern Nochixtlán Mixtec
;;tge;Eastern Gorkha Tamang
;;ajp;South Levantine Arabic
;;uka;Kaburi
;;wif;Wik-Keyangan
;;snm;Southern Ma'di
;;ltc;Late Middle Chinese
;;sbj;Surbakhal
;;oyy;Oya'oya
;;psc;Persian Sign Language
;;sap;Sanapaná
;;whg;North Wahgi
;;kfg;Kudiya
;;esn;Salvadoran Sign Language
;;xnr;Kangri
;;mnm;Mapena
;;gft;Gafat
;;bqx;Baangi
;;ars;Najdi Arabic
;;ybn;Yabaâna
;;kuv;Kur
;;wkl;Kalanadi
;;osx;Old Saxon
;;mqk;Rajah Kabunsuwan Manobo
;;nut;Nung (Viet Nam)
;;mgq;Malila
;;mpt;Mian
;;kfo;Koro (Côte d'Ivoire)
;;wnu;Usan
;;zma;Manda (Australia)
;;etb;Etebi
;;zyg;Yang Zhuang
;;ndq;Ndombe
;;lbg;Laopang
;;dhg;Dhangu
;;nmm;Manangba
;;alj;Alangan
;;tpv;Tanapag
;;pri;Paicî
;;weu;Welaung
;;inl;Indonesian Sign Language
;;glg;Galician
;;zha;Zhuang
;;iba;Iban
;;etx;Eten
;;beq;Beembe
;;wsv;Wotapuri-Katarqalai
;;sam;Samaritan Aramaic
;;omw;South Tairora
;;mlu;To'abaita
;;klq;Rumu
;;ged;Gade
;;scx;Sicel
;;qvc;Cajamarca Quechua
;;zpc;Choapan Zapotec
;;kch;Vono
;;tbe;Tanimbili
;;mir;Isthmus Mixe
;;moz;Mukulu
;;tam;Tamil
;;fab;Fa D'ambu
;;dbn;Duriankere
;;tmh;Tamashek
;;lgn;Opuuo
;;wlo;Wolio
;;mkr;Malas
;;btr;Baetora
;;vae;Vale
;;ncf;Notsi
;;fwe;Fwe
;;yig;Wusa Nasu
;;kre;Panará
;;jpn;Japanese
;;bop;Bonkiman
;;slt;Sila
;;sdm;Semandang
;;oui;Old Uighur
;;bcz;Bainouk-Gunyaamolo
;;koy;Koyukon
;;kau;Kanuri
;;tpn;Tupinambá
;;khh;Kehu
;;awy;Edera Awyu
;;atm;Ata
;;dng;Dungan
;;xtp;San Miguel Piedras Mixtec
;;muo;Nyong
;;aea;Areba
;;njd;Ndonde Hamba
;;lrt;Larantuka Malay
;;ynd;Yandruwandha
;;mwc;Are
;;dms;Dampelas
;;uzb;Uzbek
;;tme;Tremembé
;;fun;Fulniô
;;nie;Niellim
;;xtq;Tumshuqese
;;mrs;Maragus
;;niw;Nimo
;;ymc;Southern Muji
